OBJECTID,GEOID,TotGradCalc,TotEnrlCalc,PctEnrl,Shape__Area,Shape__Length
1,26001,1133,523,0.461606363636364,892233978.150391,175764.488503012
2,26002,516,392,0.759689912790698,883173602.717529,186108.280534993
3,26003,238,52,0.218487495798319,479265786.59375,121618.539187806
4,26004,1058,589,0.556710775047259,562839349.79834,110943.413095135
5,26005,516,182,0.352713174418605,436904592.240723,151521.267709113
6,26006,1791,755,0.421552209380235,803073037.008545,238125.80870857
7,26007,396,222,0.560606045454546,401070940.367432,124643.404135912
8,26008,415,205,0.493975903614458,442179447.36377,120976.493340956
9,26009,197,84,0.42639592893401,456907799.301514,132879.357472886
10,26010,635,273,0.429921247244095,485049438.325928,163940.526611887
11,26011,784,419,0.534438774234694,578028102.519043,177503.802401776
12,26012,666,316,0.474474486486486,1833688423.91187,201123.848428462
13,26013,1312,841,0.641006073932927,562044102.719482,235124.136588049
14,26014,994,490,0.492957762575453,559785170.021484,161584.684200069
15,26015,1627,1189,0.73079287031346,662928028.866943,149424.411086987
16,26016,677,362,0.53471194239291,677722934.25708,143143.016413369
17,26017,473,249,0.526427012684989,6819518484.48816,517490.294620501
18,26018,1014,574,0.566074939842209,559763443.110352,128159.351442285
19,26019,900,694,0.771111111111111,971747101.250244,137516.941841189
20,26020,608,506,0.832236842105263,1225987386.51807,202545.366707703
21,26021,1855,1501,0.809164420485175,1647699030.39502,225720.334438929
22,26022,524,250,0.477099236641221,538230995.02002,141700.787653762
23,26023,1145,804,0.702183399126638,2885296746.49316,313481.430730702
24,26024,1042,687,0.659309017274472,1143645164.78418,248729.066574589
25,26025,1734,1339,0.772202998846597,583916808.758789,148327.95580665
26,26026,614,348,0.5667752247557,526270077.837891,112162.893597905
27,26027,1485,643,0.432996628956229,475643247.865234,107280.094668886
28,26028,980,476,0.485714286734694,646523120.6875,149064.978197107
29,26029,494,239,0.48380566194332,1181874476.73535,229765.602588335
30,26030,555,326,0.587387387387387,830671423.254395,192449.644052245
31,26031,742,330,0.444743942048518,678623579.620117,159381.868425868
32,26032,530,345,0.650943405660377,7882901919.79297,589687.725072599
33,26033,1430,1033,0.722377622377622,5140933531.771,354151.006640451
34,26034,125,53,0.423999936,711174126.918945,226466.140105545
35,26035,1061,642,0.605089541941565,999010550.705078,126420.629556305
36,26036,1031,809,0.784675072744908,2800274778.62842,289010.635844955
37,26037,856,641,0.748831775700935,1002351661.51807,126641.301426676
38,26038,1002,782,0.780439147704591,1959242323.00537,241578.33969174
39,26039,1214,875,0.72075781136738,1608440597.35156,257530.252730884
40,26040,1457,1221,0.838023335621139,1357697871.21973,187380.070230219
41,26041,1044,804,0.770114942528736,998670044.681152,137970.562343136
42,26042,996,671,0.673694785140562,5107480801.24609,321061.139230046
43,26043,1273,761,0.597800466614297,1861892722.55078,225265.501559191
44,26044,647,430,0.664605873261206,4232772400.26025,386053.959303186
45,26045,1236,971,0.785598716828479,1157824724.90527,153126.804894417
46,26046,1265,860,0.679841906719368,4899151943.11523,342175.915624384
47,26047,1244,863,0.693729903536977,11210111824.4902,511608.144027755
48,26048,938,550,0.5863539445629,6826685862.77686,476182.920667686
49,26049,891,435,0.488215493827161,2025110301.32813,370989.835455232
50,26050,994,623,0.626760560362173,2682933260.73682,268884.832714139
51,26051,1355,894,0.659778597785978,8887638732.18506,707450.633560267
52,26052,644,496,0.770186330745342,14073262789.877,618063.61151911
53,26053,763,612,0.802096985583224,560382420.296387,146240.970383697
54,26054,310,210,0.677419332258065,2001640804.16528,190002.570430439
55,26055,1262,952,0.754358158478605,3503418974.17871,439788.579055252
56,26056,1281,794,0.619828259172521,10291549348.8112,512698.607692429
57,26057,954,553,0.579664587002096,20240816849.9689,651916.283011043
58,26058,763,406,0.532110076015727,31414385084.1659,777752.368712262
59,26059,792,412,0.520202008838384,25563178590.2167,752080.023061287
60,26060,683,424,0.620790626647145,998611159.080811,231249.437428429
61,26061,765,574,0.750326822222222,5019860794.12964,383711.640770056
62,26062,796,401,0.503768837939699,8039199341.39771,580510.464188659
63,26063,1141,752,0.659070985977213,20081721430.1348,808393.785965566
64,26064,642,338,0.526479742990654,8066644021.23877,498936.276356481
65,26065,935,508,0.543315513368984,16060844687.7607,1109340.39311329
66,26066,932,538,0.577253216738197,32444651609.7856,1102430.62949678
67,26067,1573,920,0.584869675778767,11763458020.5164,556006.052834785
68,26068,293,153,0.52218433447099,868264308.209473,228764.186398248
69,26069,850,630,0.741176470588235,2997620439.64648,318593.493420316
70,26070,727,409,0.562585972489684,24132195753.4297,926899.395471427
71,26071,1160,625,0.538793102586207,13180528403.4744,674198.843256719
72,26072,953,541,0.567681006295908,4597779966.01514,400706.491493337
73,26073,1535,1067,0.695114016938111,6625454687.80078,533993.150520798
74,26074,1174,693,0.590289621805792,6097393432.05859,508293.268578923
75,26075,776,279,0.359536057989691,480520324.182129,164711.986022906
76,26076,172,120,0.697674418604651,782687582.645508,375370.940386701
77,26077,894,441,0.493288582774049,1700629566.35303,221144.546677064
78,26078,645,334,0.517829466666667,13849835628.1587,774961.496177094
79,26079,925,497,0.537297301621622,5502105642.84436,461631.151451618
80,26080,902,469,0.519955654101996,20467307343.092,632313.900210572
81,26081,797,491,0.616060204516939,13843175971.2104,1041184.14830504
82,26082,780,438,0.561538452564103,18475917646.8052,567963.964959257
83,26083,1141,604,0.529360205959684,45544588139.5537,1102236.24902536
84,26084,823,457,0.555285534629405,85055422541.3921,1403966.09999041
85,26085,913,513,0.56188391456736,23936272097.7861,749690.86016212
86,26086,1558,1085,0.696405642490372,10966449156.9258,677380.794429411
87,26087,836,480,0.574162679425837,28322018417.646,1057415.4135649
88,26088,705,465,0.659574468085106,6015970926.19922,408420.760322886
89,26089,1157,704,0.608470183232498,6902235143.52539,437760.657946922
90,26090,1177,674,0.572642308411215,3166820057.56348,295930.640241054
91,26091,919,587,0.638737758433079,11443006997.5166,775484.571117782
92,26092,792,383,0.483585835858586,3261827236.5376,345428.842561199
93,26093,727,440,0.605226982118294,27907188949.6914,860278.520632802
94,26094,1029,677,0.657920306122449,9247052654.93457,718787.50965538
95,26095,504,226,0.448412714285714,4639589102.83252,368188.306536374
96,26096,600,378,0.629999983333333,6708743898.72559,378935.528917482
97,26097,490,265,0.540816318367347,58457446404.0195,1598637.75050622
98,26098,1220,883,0.723770482786885,12604363891.7979,632971.315613606
99,26099,434,276,0.635944695852535,25470083663.5098,933705.208015802
100,26100,501,281,0.560878241516966,76444155670.7603,1463030.70506895
101,26101,803,394,0.49066003611457,165036272034.396,1985095.51970101
102,26102,866,444,0.51270207852194,38905495524.8164,1335547.51257383
103,26103,430,210,0.488372093023256,79856692723.7188,1263518.93657212
104,26104,826,544,0.658595641646489,16777902542.0098,667602.094755671
105,26105,590,360,0.610169481355932,101973408397.018,1977050.06503293
106,26106,529,307,0.58034024952741,238511685798.852,2478118.77808718
107,26107,875,546,0.624000010285714,164478967402.172,2781771.58647452
108,26108,765,477,0.623529431372549,114741921559.054,1979044.0149871
109,26109,598,392,0.655518372909699,293269369789.885,3448904.20129719
110,26110,672,394,0.586309523809524,426640042280.723,3615290.68520751
